team_id,team_name,student_ids,bmt_student_ids,school,state
035,,1743|1744|1799|1853|1854,035D|035F|035A|035C|035E,,California
036,,1396|1855|1856|1857|1939,036D|036B|036C|036F|036E,,California
037,,1745|1746|1926,037E|037F|037A,,California
039,GMC Acacia,164|166|622|884|929|1693,039E|039D|039C|039A|039F|039B,Henry M. Gunn HS,California
040,,1747|1858,040C|040E,,California
041,GMC Birch,1859|1916|1927|1936,041B|041A|041E|041F,Henry M. Gunn HS,California
042,,1860,042E,,
043,Saratoga 1,83|117|439|483|1213|6258,043D|043E|043B|043F|043C|043A,Saratoga HS,California
044,,1008|1748|1749|1800|1861|1949,044E|044B|044D|044F|044C|044A,,Washington
045,,1079|1862|1863|1864|1957,045D|045A|045C|045F|045E,,California
046,,885|887|1801,046D|046B|046C,,California
047,Harker Kappa,1397|1750|1822|1958,047B|047D|047F|047E,The Harker School,California
048,,1865|1917|1959,048A|048C|048D,,
049,Harker Omega,327|991|1751|1802,049A|049D|049B|049E,The Harker School,California
050,Harker Sigma,238|1043|1752|1803|1804|1866,050A|050D|050F|050C|050E|050B,The Harker School,California
052,Kawaii Knights,904|1867|1918|1960|1961,052B|052C|052F|052A|052D,The King's Academy,California
053,,1493|1868,053F|053B,,"Ontario, Canada"
054,,1753|1805|1806|1869,054C|054A|054E|054B,,
055,,1754,055C,,
056,,1755|1962|1963,056B|056A|056C,,California
057,Sierra Canyon School,96|1870|1940|1964,057C|057E|057B|057A,Sierra Canyon School,California
058,,1756,058B,,
059,,1757|1871|1965|1966,059D|059A|059B|059C,,
061,,138|1263|1758|1759|1872,061B|061E|061A|061D|061F,,California
062,,1967,062B,,
063,,1968,063C,,
064,Vegas Strong,730|1269|1760|1787|1941,064F|064C|064D|064B|064A,Las Vegas Math Circle,Nevada
065,FROM X TO INFINITY,1419|1928|1969,065A|065B|065C,FROM X TO INFINITY,
069,Proof Lions,21|1761|1762|1873|1919,069E|069A|069C|069B|069F,Proof School,California
070,,1763|1807|1874|1942,070B|070E|070D|070F,,California
071,,1699|1764|1765,071C|071B|071D,,California
072,,1766|1767,072A|072B,,
073,DVHS Wildkitties 2,1768|1875|1876|1877|1943,073A|073D|073E|073F|073C,Dougherty Valley HS,California
074,DVHS Wildkitties 1,78|482|1061|1232|1878|1879,074C|074F|074E|074A|074B|074D,Dougherty Valley HS,California
075,,1769|1880,075D|075C,,
076,,1770|1808|1881|1970,076F|076C|076B|076E,,California
077,,853|1650|1771|1809|1810,077E|077A|077D|077B|077C,,California
079,,1882,079B,,
080,,1371|1772|1883|1929|1930|1971,080C|080E|080D|080A|080B|080F,,California
085,,1773,085A,,
091,,1774|1775|1776|1884,091B|091C|091E|091A,,Maryland
092,,1777|1885|1920,092D|092B|092E,,California
093,,1778|1779|1780|1781,093A|093B|093C|093D,,California
095,,1811,095A,,
096,,274|1782|1783|1886|1944|5777,096F|096B|096D|096C|096A|096E,,California
097,,343|1784|1812,097B|097C|097A,,North Carolina
098,,1785|1786|1813|1887,098C|098E|098A|098D,,California
099,Monkey Team A,880|1888|1889|1890|1921|4108,099B|099A|099D|099F|099C|099E,Palo Alto HS,California
100,,1648|1972,100C|100E,,California
101,,941|1891,101C|101A,,California
103,,1368|1892,103D|103A,,California
105,Torrey Pines Chamise,98|413|436|934|1893|1922,105F|105B|105D|105E|105A|105C,Torrey Pines,California
106,Torrey Pines Lupine,206|1894|1923,106A|106B|106D,Torrey Pines,Maryland
108,,1895,108A,,
109,,1814|1815,109A|109D,,
110,,1787,110C,,Massachusetts
111,Team A,181|1896|1897|1973|5561,111D|111A|111B|111C|111F,Monta Vista HS,California
112,,1898|1931,112F|112A,,
113,,1816|1817,113A|113B,,
115,YEA Spice,113|123|292|398|957|1123,115B|115F|115E|115D|115A|115C,Youth EUCLID Association,California
116,,729|1899,116D|116A,,Nevada
117,,43|82|416|824|1010|1932,117D|117A|117F|117C|117B|117E,,Washington
118,WA Gold 1,7|138|205|303|1083|1090|1818,118E|118A|118D|118F|118C|118B|118C,Seattle Infinity Math Circle,Washington
119,Cougars2,105|405|1236|1788|1789,119F|119C|119A|119B|119E,Quarry Lane School,California
120,,1790|1900|1933,120F|120D|120C,,California
122,LCHS,1901|1902|1924|1934,122A|122E|122D|122B,La Canada HS,California
123,,1903|1904|1905|1906,123A|123B|123C|123E,,
124,,1907|1908|1945,124D|124E|124F,,
125,,97|1909|1910|1946,125B|125A|125D|125E,,California
126,,1791|1792|1911|1974,126A|126C|126D|126E,,California
128,,1975,128A,,
