Country Name,Country Code,Contestant,P1,P2,P3,P4,P5,P6,Total,Award,Rank
Lithuania,TND,Holm-Gjerde Vebjorn,7,1,0,7,1,0,16,Honourable mention,61
Bulgaria,BGR,Drencheva Maria,7,1,0,5,3,0,16,Honourable mention,62
Ukraine,UKR,Torianyk Maksym,6,3,0,6,1,0,16,,63
Ukraine,UKR,Hordiichuk Oles,7,0,0,7,1,0,15,Honourable mention,64
Hungary,HUN,Tarján Bernát,7,7,0,0,1,0,15,Honourable mention,65
Italy,ITA,Zonta Enrico,6,0,0,7,2,0,15,Honourable mention,66
Romania,ROU,Ghibu David,5,2,0,7,1,0,15,Honourable mention,67
Serbia,SRB,Šebez Stefan,7,0,0,2,3,0,12,Honourable mention,68
Italy,ITA,Bastioni Lorenzo,7,0,0,4,0,0,11,Honourable mention,69
Ukraine,UKR,Hafych Denys,4,0,0,0,7,0,11,Honourable mention,70
Bulgaria,BGR,Gachevski Boris,7,0,0,0,3,1,11,Honourable mention,71
Serbia,SRB,Šušić Nina,7,0,0,0,2,0,9,Honourable mention,72
Ukraine,UKR,Barkulov Mykhailo,7,1,0,0,0,0,8,Honourable mention,73
Lithuania,TND,Zou Mingdao,7,0,0,0,0,0,7,Honourable mention,74
Romania B,ROU B,Mazăre Emanuel,6,0,0,0,1,0,7,,75
Ukraine,UKR,Sydorenko Mykhailo,6,0,0,0,1,0,7,,76
Romania (Tudor Vianu College),VIANU,Ștefănescu Ecaterina,6,0,0,0,1,0,7,,77
Romania (Tudor Vianu College),VIANU,Manasia Nicolas-Andrei,6,0,0,0,0,0,6,,78
Romania (Tudor Vianu College),VIANU,Grecu Tudor,4,0,0,0,0,0,4,,79
Romania (Tudor Vianu College),VIANU,Ghițescu Cosmina,0,0,0,0,2,0,2,,80
