Country Name,Country Code,Contestant Code,Contestant,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank
Republic of Korea,KOR,35414,Hyeonjun Lee,7,7,7,7,7,1,36,Gold medal,,12
Slovakia,SVK,33381,Matej Bachniček,7,7,1,7,7,7,36,Gold medal,,12
United States of America,USA,35166,Andrew Lin,7,7,7,7,7,1,36,Gold medal,,12
United States of America,USA,35164,Ruilin Wang,7,7,7,7,7,1,36,Gold medal,,12
Australia,AUS,31762,William Cheah,7,7,7,7,7,0,35,Gold medal,,27
Australia,AUS,35337,Jayden Pan,7,7,7,7,7,0,35,Gold medal,,27
Belarus,BLR,33542,Mikhail Raikhman,7,7,7,7,7,0,35,Gold medal,,27
Belgium,BEL,32050,Pierre Akin Dürrüoglu,7,7,7,6,7,1,35,Gold medal,,27
Bosnia and Herzegovina,BIH,33766,Vuk Janković,7,7,7,7,7,0,35,Gold medal,,27
C34,C34,35546,Vasilii Patrushev,7,7,7,7,7,0,35,Gold medal,,27
C35,C35,35547,Artem Sadykov,7,7,7,7,7,0,35,Gold medal,,27
C36,C36,35551,Ilya Zamotorin,7,7,7,7,7,0,35,Gold medal,,27
France,FRA,35455,Maxime Chevalier,7,7,7,7,7,0,35,Gold medal,,27
Hungary,HUN,34194,Mátyás Bodor,7,7,7,7,7,0,35,Gold medal,,27
Hungary,HUN,34197,Ábel Szakács,7,7,7,7,7,0,35,Gold medal,,27
India,IND,35509,Aarav Gupta,7,7,7,7,7,0,35,Gold medal,,27
India,IND,31724,Adhitya Mangudy Venkata Ganesh,7,7,7,7,7,0,35,Gold medal,,27
Islamic Republic of Iran,IRN,35135,Mahdi Aghajanloo,7,7,7,7,7,0,35,Gold medal,,27
Islamic Republic of Iran,IRN,35137,Bardiya Khosheghbal,7,7,7,7,7,0,35,Gold medal,,27
Israel,ISR,35384,Shahar Blumentzvaig,7,7,7,7,7,0,35,Gold medal,,27
Israel,ISR,34635,Yotam Budnik,7,7,7,7,7,0,35,Gold medal,,27
Israel,ISR,34631,Raz Dvora,7,7,6,7,7,1,35,Gold medal,,27
Italy,ITA,35475,Marcel Stologan,7,7,7,7,7,0,35,Gold medal,,27
Japan,JPN,34155,Shinjiro Hamakawa,7,7,7,7,7,0,35,Gold medal,,27
Japan,JPN,35182,Kazuki Yamamoto,7,7,7,7,7,0,35,Gold medal,,27
North Macedonia,MKD,31770,Aleksij Tasikj,7,7,7,7,7,0,35,Gold medal,,27
People's Republic of China,CHN,35091,Zhenyu Dong,7,7,7,7,7,0,35,Gold medal,,27
Peru,PER,34688,Renato Gaitan,7,7,7,7,7,0,35,Gold medal,,27
Peru,PER,33824,Sebastian Lozada,7,7,7,7,7,0,35,Gold medal,,27
Poland,POL,34390,Stanisław Lada,7,7,7,7,7,0,35,Gold medal,,27
Poland,POL,35112,Magdalena Pudełko,7,7,7,6,7,1,35,Gold medal,,27
Poland,POL,35087,Jakub Świcarz,7,7,7,7,7,0,35,Gold medal,,27
Republic of Korea,KOR,35413,Hyewon Yoon,7,7,7,7,7,0,35,Gold medal,,27
Romania,ROU,33637,Pavel Ciurea,7,7,7,7,7,0,35,Gold medal,,27
Romania,ROU,35493,Emanuel Mazăre,7,7,7,7,7,0,35,Gold medal,,27
Singapore,SGP,35306,Yi Xiang Tey,7,7,7,7,7,0,35,Gold medal,,27
Singapore,SGP,34078,Yihan Yang,7,7,7,7,7,0,35,Gold medal,,27
Singapore,SGP,34092,Yaoqi Zhao,7,7,7,7,7,0,35,Gold medal,,27
Switzerland,SUI,34492,Jovian Soejono,7,7,7,7,7,0,35,Gold medal,,27
Taiwan,TWN,34414,Tien-Hui Lee,7,7,7,7,7,0,35,Gold medal,,27
Taiwan,TWN,35267,Pin-Chun Lu,7,7,7,7,7,0,35,Gold medal,,27
Thailand,THA,33590,Patanasang Pinijpichitkul,7,7,7,7,7,0,35,Gold medal,,27
Türkiye,TUR,34023,Selim Doğan,7,7,7,7,7,0,35,Gold medal,,27
Türkiye,TUR,34928,Ahmet Kerem Kaya,7,7,7,7,7,0,35,Gold medal,,27
Ukraine,UKR,34476,Oles Hordiichuk,7,7,7,7,7,0,35,Gold medal,,27
United Kingdom,UNK,30257,Alex Chui,7,7,7,7,7,0,35,Gold medal,,27
United Kingdom,UNK,34585,Sam Griffiths,7,7,7,7,7,0,35,Gold medal,,27
United Kingdom,UNK,35488,Teri Xu,7,7,7,7,7,0,35,Gold medal,,27
United States of America,USA,35238,Karn Chutinan,7,7,7,6,7,1,35,Gold medal,,27
Vietnam,VNM,34080,Minh Hoang Tran,7,7,7,7,7,0,35,Gold medal,,27
Australia,AUS,35338,William Liu,6,7,7,6,7,1,34,Silver medal,,73
Bulgaria,BGR,33757,Angel Hristov,7,7,5,7,7,1,34,Silver medal,,73
Islamic Republic of Iran,IRN,35136,Mohammadreza Attaranzadeh,6,7,7,7,7,0,34,Silver medal,,73
Kazakhstan,KAZ,32026,Miron Yurkevich,7,6,7,7,7,0,34,Silver medal,,73
Serbia,SRB,33731,Stefan Šebez,7,7,6,7,7,0,34,Silver medal,,73
Singapore,SGP,34091,Juntao Zhang,7,7,5,7,7,1,34,Silver medal,,73
Uzbekistan,UZB,34105,Elbek Zohidjonov,7,7,7,6,7,0,34,Silver medal,,73
Vietnam,VNM,34082,Dang Dung Nguyen,7,7,6,7,7,0,34,Silver medal,,73
C33,C33,35545,Ivan Kokarev,7,7,4,7,7,1,33,Silver medal,,81
Cyprus,CYP,31965,Ara Mahdessian,7,7,5,7,7,0,33,Silver medal,,81
Czech Republic,CZE,33315,Erik Ježek,7,7,5,7,7,0,33,Silver medal,,81
France,FRA,35458,David Lei,7,7,5,7,7,0,33,Silver medal,,81
Mongolia,MNG,34040,Manlai Sonor,7,7,7,7,4,1,33,Silver medal,,81
Turkmenistan,TKM,33796,Hamza Allaberdiyev,7,7,5,7,7,0,33,Silver medal,,81
United States of America,USA,35165,Hannah Fox,7,7,5,7,7,0,33,Silver medal,,81
Greece,HEL,34352,Kyriakos Tsourekas,7,7,4,7,7,0,32,Silver medal,,88
India,IND,35510,Abel George Mathew,7,7,3,7,7,1,32,Silver medal,,88
Kazakhstan,KAZ,34441,Amirlan Amanzholov,7,7,4,7,7,0,32,Silver medal,,88
Ireland,IRL,33659,Tianci Yan,7,7,3,6,7,1,31,Silver medal,,91
Italy,ITA,35471,Anna Kazhamiakina,7,2,7,7,7,1,31,Silver medal,,91
Kazakhstan,KAZ,35207,Amir Sakhipov,7,7,3,7,7,0,31,Silver medal,,91
Kazakhstan,KAZ,33250,Margulan Sharel,7,7,7,7,3,0,31,Silver medal,,91
Poland,POL,34394,Mateusz Wawrzyniak,7,7,3,7,7,0,31,Silver medal,,91
Portugal,POR,33599,Tomás Faria,7,7,3,7,7,0,31,Silver medal,,91
Republic of Korea,KOR,35415,Hyunjun Jang,7,7,7,7,3,0,31,Silver medal,,91
Thailand,THA,35296,Dawn Sawangsap,7,7,3,7,7,0,31,Silver medal,,91
Vietnam,VNM,35339,Dinh Tung Nguyen,7,7,7,7,3,0,31,Silver medal,,91
Belarus,BLR,35180,Hleb Stsiapanychau,7,2,7,7,7,0,30,Silver medal,,100
Bosnia and Herzegovina,BIH,33782,Andrej Krčmar,7,7,2,7,7,0,30,Silver medal,,100
Brazil,BRA,34263,Marco Aurelio Nogueira D'emidio,7,7,4,7,5,0,30,Silver medal,,100
Bulgaria,BGR,35404,Andrey Stefanov,7,7,1,7,7,1,30,Silver medal,,100
Estonia,EST,32078,Bronislav Shatil,7,7,7,6,3,0,30,Silver medal,,100
Hong Kong,HKG,35185,Kwan Yu Chan,7,7,2,7,7,0,30,Silver medal,,100
Hong Kong,HKG,34319,Zi Jie Xu,7,7,7,7,2,0,30,Silver medal,,100
Israel,ISR,34630,Nadav Dan Tamari,7,7,5,7,4,0,30,Silver medal,,100
Japan,JPN,33072,Naoto Wakasugi,6,1,7,7,7,2,30,Silver medal,,100
North Macedonia,MKD,30465,Damjan Davkov,7,7,0,7,7,2,30,Silver medal,,100
Philippines,PHI,33608,Jerome Austin Te,7,7,2,7,7,0,30,Silver medal,,100
Poland,POL,34391,Antoni Mazur,7,7,2,7,7,0,30,Silver medal,,100
Poland,POL,35163,Michał Piotr Wolny,7,7,2,7,7,0,30,Silver medal,,100
Romania,ROU,34539,Andrei Vila,7,7,7,6,3,0,30,Silver medal,,100
South Africa,SAF,31786,Youkyum Kim,7,7,2,7,7,0,30,Silver medal,,100
Spain,ESP,35027,Pablo Freire Fernández,1,7,7,7,7,1,30,Silver medal,,100
Switzerland,SUI,35479,Andrej Ševera,7,1,7,7,7,1,30,Silver medal,,100
Türkiye,TUR,34926,Mustafa Dortluoğlu,7,7,2,7,7,0,30,Silver medal,,100
Türkiye,TUR,34945,Deniz Can Karaçelebi,7,2,7,7,7,0,30,Silver medal,,100
Argentina,ARG,34378,Emiliano Sosa,7,7,1,7,7,0,29,Silver medal,,119
Bosnia and Herzegovina,BIH,31249,Benjamin Mujkić,7,7,1,7,7,0,29,Silver medal,,119
Bosnia and Herzegovina,BIH,34431,Adnan Osmić,7,7,1,7,7,0,29,Silver medal,,119
Brazil,BRA,34265,João Pedro Bandeira Lemos,7,7,0,7,7,1,29,Silver medal,,119
Brazil,BRA,34264,Levi Magalhães Pereira Castello Branco,7,7,1,7,7,0,29,Silver medal,,119
Bulgaria,BGR,33756,Vesselin Markovich,7,7,2,6,7,0,29,Silver medal,,119
Germany,GER,35401,Philip Maximilian Trebst,7,7,1,7,7,0,29,Silver medal,,119
Greece,HEL,34351,Nektarios-Rafail Berkoutakis,6,7,3,6,7,0,29,Silver medal,,119
Hungary,HUN,34195,Pál Czanik,7,7,1,7,7,0,29,Silver medal,,119
Hungary,HUN,34199,Boldizsár Varga,7,7,1,7,7,0,29,Silver medal,,119
Islamic Republic of Iran,IRN,35129,Mohammad Sajjad Memari Abkooh,7,7,1,7,7,0,29,Silver medal,,119
Kyrgyzstan,KGZ,33101,Ian Bobrus,7,7,2,6,7,0,29,Silver medal,,119
Kyrgyzstan,KGZ,33906,Nazar Kirgizbaev,7,7,1,7,7,0,29,Silver medal,,119
Malaysia,MAS,35150,Janson Ho,7,7,0,7,7,1,29,Silver medal,,119
Malaysia,MAS,35141,Yi Shuen Yeoh,7,6,2,7,7,0,29,Silver medal,,119
Mongolia,MNG,33350,Tenuunsaikhan Batlkhagva,7,7,0,7,7,1,29,Silver medal,,119
Mongolia,MNG,34038,Belgutei Bayar,7,7,1,7,7,0,29,Silver medal,,119
New Zealand,NZL,33331,Haotian Wang,7,7,1,7,7,0,29,Silver medal,,119
Peru,PER,35094,Leandro Alvarado,7,7,0,7,7,1,29,Silver medal,,119
Romania,ROU,35490,David Ghibu,7,7,4,7,4,0,29,Silver medal,,119
Romania,ROU,35494,David-Vlad Mărghidan,7,7,2,5,7,1,29,Silver medal,,119
Serbia,SRB,34523,Novak Despotović,7,1,7,7,7,0,29,Silver medal,,119
Spain,ESP,34317,Antonio Laso González,7,7,1,7,7,0,29,Silver medal,,119
Taiwan,TWN,35264,Ting-Cheng Hsu,7,7,0,7,7,1,29,Silver medal,,119
Tajikistan,TJK,33563,Mashrafdzhon Inomov,7,7,6,6,3,0,29,Silver medal,,119
Thailand,THA,34280,Siraphop Khawplad,7,7,7,6,2,0,29,Silver medal,,119
Türkiye,TUR,34930,Ege Akgün,7,7,0,7,7,1,29,Silver medal,,119
Uzbekistan,UZB,34102,Asadbek Bobokulov,6,7,5,4,7,0,29,Silver medal,,119
Uzbekistan,UZB,33402,Rasulbek Gafforov,7,7,1,7,7,0,29,Silver medal,,119
Australia,AUS,34175,Xiangyue Nan,7,7,0,7,7,0,28,Silver medal,,148
Austria,AUT,33642,Jan Strehn,7,6,0,7,7,1,28,Silver medal,,148
Canada,CAN,34591,Ryan Bai,7,7,0,7,7,0,28,Silver medal,,148
Canada,CAN,35450,Leo Wu,7,1,6,7,7,0,28,Silver medal,,148
France,FRA,34616,Solal Pivron-Djeddi,7,1,6,7,7,0,28,Silver medal,,148
Germany,GER,35410,David Benedikt Lindenthal,7,0,7,7,7,0,28,Silver medal,,148
Hong Kong,HKG,35190,Long Sze,7,7,0,7,7,0,28,Silver medal,,148
Hungary,HUN,35230,Martin Holló,7,7,0,7,7,0,28,Silver medal,,148
India,IND,35498,Aadish Jain,7,7,0,7,7,0,28,Silver medal,,148
Ireland,IRL,33657,Owen Barron,7,7,0,7,7,0,28,Silver medal,,148
Islamic Republic of Iran,IRN,35138,Amirhossein Zarei,7,7,4,7,3,0,28,Silver medal,,148
Italy,ITA,35473,Loek Van Der Zijde,7,7,0,7,7,0,28,Silver medal,,148
Japan,JPN,35260,Shogo Ando,7,7,0,7,7,0,28,Silver medal,,148
Mexico,MEX,35254,Emmanuel Buenrostro Briseño,7,7,0,7,7,0,28,Silver medal,,148
Mexico,MEX,34386,Takumi Higashida Martínez,7,7,3,7,4,0,28,Silver medal,,148
New Zealand,NZL,34437,Jay Zhao,7,7,0,7,7,0,28,Silver medal,,148
Republic of Korea,KOR,35416,Hyungjune Cho,7,7,7,7,0,0,28,Silver medal,,148
Republic of Moldova,MDA,33828,Marius Cerlat,6,1,7,7,7,0,28,Silver medal,,148
Singapore,SGP,35305,Zixiang Gao,7,7,0,7,7,0,28,Silver medal,,148
Sweden,SWE,33200,Jiachen Mi,7,7,0,7,7,0,28,Silver medal,,148
Switzerland,SUI,33720,Hongjia Meng,7,7,0,7,7,0,28,Silver medal,,148
Taiwan,TWN,35263,Bo Cheng Huang,7,7,0,7,7,0,28,Silver medal,,148
Tajikistan,TJK,33291,Olimdzhon Tukhtarov,7,7,0,7,7,0,28,Silver medal,,148
Turkmenistan,TKM,34608,Maliksha Meylismyradov,7,7,0,7,7,0,28,Silver medal,,148
Ukraine,UKR,35277,Oleksandr Horbunov,7,7,0,7,7,0,28,Silver medal,,148
Ukraine,UKR,34478,Daniil Shvaiko,7,7,0,7,7,0,28,Silver medal,,148
United Kingdom,UNK,35487,Zijie Guan,7,7,0,7,7,0,28,Silver medal,,148
Uzbekistan,UZB,34933,Behruzbek Elmurodov,7,7,0,7,7,0,28,Silver medal,,148
Vietnam,VNM,35344,Phan Duc Man Le,7,7,0,7,7,0,28,Silver medal,,148
Australia,AUS,35336,Justin Tran,7,7,0,6,7,0,27,Bronze medal,,177
Bulgaria,BGR,35408,Petko Lazarov,7,6,0,7,7,0,27,Bronze medal,,177
Germany,GER,35402,Vladyslav Husynin,7,7,0,6,7,0,27,Bronze medal,,177
Indonesia,IDN,35197,Janssen Edyth Lim,7,7,0,7,6,0,27,Bronze medal,,177
Lithuania,LTU,35350,Kiryl Krutsko,6,5,2,7,7,0,27,Bronze medal,,177
Mexico,MEX,34388,Héctor Juan Villarreal Corona,7,7,0,6,7,0,27,Bronze medal,,177
New Zealand,NZL,35328,Ray Shi,7,6,0,7,7,0,27,Bronze medal,,177
Thailand,THA,35293,Napon Apintanaphong,7,7,0,5,7,1,27,Bronze medal,,177
Türkiye,TUR,34944,Ahmet Kerim Rüzgar,7,0,5,7,7,1,27,Bronze medal,,177
Ukraine,UKR,35281,Volodymyr Zabigailo,7,7,0,5,7,1,27,Bronze medal,,177
Belarus,BLR,35178,Stefaniya Shuturminskaya,7,7,1,5,6,0,26,Bronze medal,,187
Bolivia,BOL,31175,Luis André Villan Gabriel,3,7,7,7,2,0,26,Bronze medal,,187
Colombia,COL,33277,Felipe Caicedo,7,1,5,6,7,0,26,Bronze medal,,187
Czech Republic,CZE,35222,Jakub Trčka,6,7,0,7,6,0,26,Bronze medal,,187
Germany,GER,35400,Clemens Böke,7,1,4,7,7,0,26,Bronze medal,,187
Greece,HEL,34376,Sokratis Iliadis,7,7,0,7,5,0,26,Bronze medal,,187
India,IND,33408,Archit Manas,7,7,4,7,1,0,26,Bronze medal,,187
Japan,JPN,35184,Kohta Iseto,7,7,3,7,1,1,26,Bronze medal,,187
Latvia,LVA,34292,Armands Tidriķis,5,7,0,7,7,0,26,Bronze medal,,187
Liechtenstein,LIE,33705,Leonhard Hasler,7,2,3,7,7,0,26,Bronze medal,,187
Malaysia,MAS,34267,Daryl Lee Ker Ru,7,7,0,5,7,0,26,Bronze medal,,187
Mongolia,MNG,35236,Khuslen Davaadorj,7,7,0,7,5,0,26,Bronze medal,,187
Morocco,MAR,35013,Yacine Gmouh,7,7,5,7,0,0,26,Bronze medal,,187
Portugal,POR,34505,Tomás Prata Vidal,7,7,3,5,4,0,26,Bronze medal,,187
Saudi Arabia,SAU,34211,Yosuf Bakheet,7,7,5,7,0,0,26,Bronze medal,,187
South Africa,SAF,33535,Moied Baleg,4,7,7,7,1,0,26,Bronze medal,,187
Belarus,BLR,35177,Vasili Dzianisau,7,7,1,7,3,0,25,Bronze medal,,203
Bulgaria,BGR,35406,George Nikolov,6,7,0,5,7,0,25,Bronze medal,,203
Germany,GER,35411,Philipp Johannes Lörcks,7,7,2,7,2,0,25,Bronze medal,,203
Ireland,IRL,35067,Vitalii Halushko,4,7,0,7,7,0,25,Bronze medal,,203
Italy,ITA,35468,Luca Giovanni Giorgio Cavallo Perin,6,7,2,7,3,0,25,Bronze medal,,203
Kazakhstan,KAZ,35206,Yerkanat Kengshilik,7,7,1,7,3,0,25,Bronze medal,,203
Netherlands,NLD,35530,Casper Heimel,7,1,3,7,7,0,25,Bronze medal,,203
Slovenia,SVN,34627,Žiga Oštir,7,7,3,7,0,1,25,Bronze medal,,203
Spain,ESP,35030,Fernando González Vivanco,7,6,2,6,3,1,25,Bronze medal,,203
Taiwan,TWN,35265,Chia-Ray Lee,7,0,7,7,4,0,25,Bronze medal,,203
Ukraine,UKR,35279,Stepan Semyrenskyi,7,4,0,7,7,0,25,Bronze medal,,203
Bangladesh,BGD,33464,Jitendra Barua,7,7,1,7,2,0,24,Bronze medal,,214
Belarus,BLR,34190,Maksim Manastyrski,7,2,1,7,7,0,24,Bronze medal,,214
Belgium,BEL,35465,Stefan Andrian Albescu,7,1,2,7,7,0,24,Bronze medal,,214
Bosnia and Herzegovina,BIH,35157,Harun Memić,6,7,0,7,4,0,24,Bronze medal,,214
Hong Kong,HKG,35186,Tsz Sing Chong,7,2,0,7,7,1,24,Bronze medal,,214
Hungary,HUN,35232,István Ádám Molnár,7,1,2,7,7,0,24,Bronze medal,,214
Indonesia,IDN,34572,Raymond Christopher Tanto,7,7,0,7,3,0,24,Bronze medal,,214
Malaysia,MAS,33339,Jia Herng Chuah,7,7,0,5,5,0,24,Bronze medal,,214
Mexico,MEX,33309,Mateo Iván Latapi Acosta,7,7,0,7,3,0,24,Bronze medal,,214
Mexico,MEX,35253,Iker Torres Terrazas,7,7,0,7,3,0,24,Bronze medal,,214
Morocco,MAR,35014,Hamza Achak,7,1,6,7,3,0,24,Bronze medal,,214
New Zealand,NZL,35370,Edward Xiao,6,7,0,7,4,0,24,Bronze medal,,214
Saudi Arabia,SAU,34721,Abdulsalam Alsulami,7,7,0,7,3,0,24,Bronze medal,,214
Singapore,SGP,34072,Akash Thiagarajan,7,7,0,7,3,0,24,Bronze medal,,214
Thailand,THA,34284,Kiattipoom Sicharoen,7,7,2,7,1,0,24,Bronze medal,,214
Algeria,ALG,34487,Mohamed Ikbal Tebib,7,7,0,7,2,0,23,Bronze medal,,229
Armenia,ARM,34913,Sargis Arakelyan,6,3,0,7,7,0,23,Bronze medal,,229
Brazil,BRA,35084,Vinícius Pimentel Nunes Portella De Macêdo,7,7,2,7,0,0,23,Bronze medal,,229
Brazil,BRA,35083,João Victor Silva Dos Santos,6,7,3,7,0,0,23,Bronze medal,,229
Cyprus,CYP,34511,Philippos Rouvas,7,7,0,2,7,0,23,Bronze medal,,229
Finland,FIN,35396,Ohto Katila,6,0,7,3,7,0,23,Bronze medal,,229
Israel,ISR,35387,Ariel Doron,7,7,2,7,0,0,23,Bronze medal,,229
Norway,NOR,33415,Ivar Lee Fevang,7,3,0,6,7,0,23,Bronze medal,,229
Peru,PER,34689,Josue Bautista,7,2,0,7,7,0,23,Bronze medal,,229
Romania,ROU,35492,Radu-Ionuț Stoleriu,7,2,0,7,7,0,23,Bronze medal,,229
Serbia,SRB,35424,Petar Banović,7,2,0,7,7,0,23,Bronze medal,,229
South Africa,SAF,33532,Yian Xu,7,7,0,7,2,0,23,Bronze medal,,229
Sweden,SWE,35078,Ruiming Zhang,7,7,0,5,4,0,23,Bronze medal,,229
United Kingdom,UNK,35483,Aanya Goyal,7,7,3,6,0,0,23,Bronze medal,,229
Austria,AUT,34622,William Shi,7,1,4,7,3,0,22,Bronze medal,,243
Austria,AUT,35503,André Tremetsberger,7,1,0,7,7,0,22,Bronze medal,,243
Bangladesh,BGD,35120,Jawad Hameem Chowdhury,7,7,0,7,1,0,22,Bronze medal,,243
Bosnia and Herzegovina,BIH,35158,Stefan Maletić,7,7,0,7,1,0,22,Bronze medal,,243
Croatia,HRV,34813,Emanuel Bajamić,7,1,0,7,7,0,22,Bronze medal,,243
Estonia,EST,35520,Ivan Dukatš,5,7,0,7,3,0,22,Bronze medal,,243
France,FRA,35459,Ruirong Li,7,7,0,7,1,0,22,Bronze medal,,243
Georgia,GEO,34557,Ivane Kobaidze,7,1,0,7,7,0,22,Bronze medal,,243
Germany,GER,35399,David Averbah,7,1,0,7,7,0,22,Bronze medal,,243
Greece,HEL,35287,Lazaros Karageorgiou,7,1,0,7,7,0,22,Bronze medal,,243
Greece,HEL,35317,Andreas Kavallaris,7,7,0,7,1,0,22,Bronze medal,,243
Indonesia,IDN,35195,Jesreel Hasiholan Sigalingging,2,7,0,6,7,0,22,Bronze medal,,243
Islamic Republic of Iran,IRN,35139,Parsia Tajallaie,0,7,7,7,1,0,22,Bronze medal,,243
Kazakhstan,KAZ,35205,Yerassyl Altynbek,7,7,1,7,0,0,22,Bronze medal,,243
Lithuania,LTU,35352,Pijus Piekus,7,5,0,7,3,0,22,Bronze medal,,243
Lithuania,LTU,35353,Matas Povilaitis,7,0,1,7,7,0,22,Bronze medal,,243
Luxembourg,LUX,34403,Khalid Khan,7,7,0,7,1,0,22,Bronze medal,,243
Mexico,MEX,35252,Javier Caram Quirós,7,1,0,7,7,0,22,Bronze medal,,243
Philippines,PHI,34538,Ervin Joshua Bautista,7,1,0,7,7,0,22,Bronze medal,,243
Republic of Moldova,MDA,33829,Alin Popescu,7,7,0,4,4,0,22,Bronze medal,,243
Slovakia,SVK,35322,Richard Dudek,7,1,0,7,7,0,22,Bronze medal,,243
South Africa,SAF,34298,Eli Max Williams,7,7,2,6,0,0,22,Bronze medal,,243
Sweden,SWE,34111,Jacob Brzezinski Ädelroth,7,6,0,6,3,0,22,Bronze medal,,243
Switzerland,SUI,34491,Eric Lüscher,7,1,0,7,7,0,22,Bronze medal,,243
Switzerland,SUI,35477,Francesc Oro,7,1,7,7,0,0,22,Bronze medal,,243
Ukraine,UKR,35278,Myroslav Liubymyi,6,7,0,2,7,0,22,Bronze medal,,243
United Kingdom,UNK,35480,Adavya Goyal,6,2,0,7,7,0,22,Bronze medal,,243
Uzbekistan,UZB,33400,Ozodbek Akhtamov,7,1,7,7,0,0,22,Bronze medal,,243
Vietnam,VNM,35342,Thanh Xuan Truong,5,7,0,7,3,0,22,Bronze medal,,243
Armenia,ARM,34915,Aleks Grigoryan,7,0,0,7,7,0,21,Bronze medal,,272
Bangladesh,BGD,34363,Tahsin Khan,7,7,1,6,0,0,21,Bronze medal,,272
Belarus,BLR,35202,Dzianis Vistunou,7,0,0,7,7,0,21,Bronze medal,,272
Bulgaria,BGR,35407,Ilia Vassilev,7,6,1,7,0,0,21,Bronze medal,,272
Canada,CAN,35451,Tiger Li,7,0,0,7,7,0,21,Bronze medal,,272
Czech Republic,CZE,34238,David Hromádka,7,7,0,7,0,0,21,Bronze medal,,272
Czech Republic,CZE,34239,Pavel Hyánek,7,1,0,6,7,0,21,Bronze medal,,272
Kyrgyzstan,KGZ,33910,Nursultan Eshperov,7,7,0,7,0,0,21,Bronze medal,,272
Kyrgyzstan,KGZ,35025,Nurdoolot Kaparov,7,7,0,7,0,0,21,Bronze medal,,272
Kyrgyzstan,KGZ,35012,Arlan Sayat,7,0,0,7,7,0,21,Bronze medal,,272
Lithuania,LTU,34145,Rugilė Dzindzalietaitė,7,7,0,7,0,0,21,Bronze medal,,272
Malaysia,MAS,34270,Ivan Chan Guan Yu,7,1,0,7,6,0,21,Bronze medal,,272
Mongolia,MNG,35234,Tuvshindalai Boldbaatar,7,7,0,7,0,0,21,Bronze medal,,272
Peru,PER,35095,Samir Ochoa,7,7,0,4,3,0,21,Bronze medal,,272
Slovakia,SVK,34369,Lucia Chladná,7,7,0,6,1,0,21,Bronze medal,,272
Slovakia,SVK,34370,Rudolf Kusý,7,1,0,6,7,0,21,Bronze medal,,272
Slovenia,SVN,34626,Patricia Király,7,7,0,7,0,0,21,Bronze medal,,272
Syria,SYR,33955,Mohamad Mouzahem,7,7,0,7,0,0,21,Bronze medal,,272
Turkmenistan,TKM,34604,Maksat Babageldiyev,7,6,1,6,1,0,21,Bronze medal,,272
Australia,AUS,35318,Zihui Zhang,7,5,0,7,1,0,20,Bronze medal,,291
Cuba,CUB,34673,Marcel Gamez Salvo,7,0,7,6,0,0,20,Bronze medal,,291
Estonia,EST,33749,Ervin Ivanov,6,7,0,7,0,0,20,Bronze medal,,291
France,FRA,35457,Hadrien Faucheu,7,7,0,3,3,0,20,Bronze medal,,291
Indonesia,IDN,35198,Louis Wilson Gunawan,7,1,0,7,5,0,20,Bronze medal,,291
Iraq,IRQ,33054,Ali Muqdad Mawlood Al-Ani,3,7,0,6,4,0,20,Bronze medal,,291
Nepal,NPL,34182,Shreyash Sharma Bastola,7,1,0,7,5,0,20,Bronze medal,,291
