folder_name,contest_name,year,website,contest_date
bmt-algebra,BMT — Algebra,2024,https://berkeley.mt/resources/archives/bmt-2024/results.pdf,2024-11-02
bmt-algebra,Berkeley Math Tournament,2025,https://berkeley.mt/resources/archives/bmt-2025/results.pdf,2025-11-08
bmt-calculus,BMT — Calculus,2023,https://berkeley.mt/resources/archives/bmt-2023/results.pdf,2023-11-04
bmt-calculus,BMT — Calculus,2024,https://berkeley.mt/resources/archives/bmt-2024/results.pdf,2024-11-02
bmt-calculus,BMT — Calculus,2025,https://berkeley.mt/resources/archives/bmt-2025/results.pdf,2025-11-08
bmt-discrete,Berkeley Math Tournament,2023,https://berkeley.mt/resources/archives/bmt-2023/results.pdf,2023-11-04
bmt-discrete,BMT — Discrete,2024,https://berkeley.mt/resources/archives/bmt-2024/results.pdf,2024-11-02
bmt-discrete,Berkeley Math Tournament,2025,https://berkeley.mt/resources/archives/bmt-2025/results.pdf,2025-11-08
bmt-geometry,Berkeley Math Tournament,2023,https://berkeley.mt/resources/archives/bmt-2023/results.pdf,2023-11-04
bmt-geometry,BMT — Geometry,2024,https://berkeley.mt/resources/archives/bmt-2024/results.pdf,2024-11-02
bmt-geometry,Berkeley Math Tournament,2025,https://berkeley.mt/resources/archives/bmt-2025/results.pdf,2025-11-08
brumo-a,BrUMO Division A,2025,https://www.brumo.org/,2025-03-29
brumo-a,BrUMO Division A,2026,https://www.brumo.org/,2026-03-28
cmimc,CMIMC,2022,https://cmimc.math.cmu.edu/math/past-results/2022,2022-03-28
cmimc,CMIMC,2023,https://cmimc.math.cmu.edu/math/past-results/2023,2023-03-25
cmimc,CMIMC,2024,https://cmimc.math.cmu.edu/math/past-results/2024,2024-04-06
cmimc,CMIMC,2025,https://cmimc.math.cmu.edu/math/past-results/2025,2025-03-28
cmimc,CMIMC,2026,https://cmimc.com/competitions/cmimc/results,2026-03-28
cmimc-algebra,CMIMC - Algebra and Number Theory,2022,https://cmimc.math.cmu.edu/math/past-results/2022,2022-03-28
cmimc-algebra,CMIMC - Algebra and Number Theory,2023,https://cmimc.math.cmu.edu/math/past-results/2023,2023-03-25
cmimc-algebra,CMIMC - Algebra and Number Theory,2024,https://cmimc.math.cmu.edu/math/past-results/2024,2024-04-06
cmimc-algebra,CMIMC - Algebra and Number Theory,2025,https://cmimc.math.cmu.edu/math/past-results/2025,2025-03-28
cmimc-algebra,CMIMC - Algebra and Number Theory,2026,https://cmimc.com/competitions/cmimc/results,2026-03-28
cmimc-comb,CMIMC - Combinatorics and Computer Science,2022,https://cmimc.math.cmu.edu/math/past-results/2022,2022-03-28
cmimc-comb,CMIMC - Combinatorics and Computer Science,2023,https://cmimc.math.cmu.edu/math/past-results/2023,2023-03-25
cmimc-comb,CMIMC - Combinatorics and Computer Science,2024,https://cmimc.math.cmu.edu/math/past-results/2024,2024-04-06
cmimc-comb,CMIMC - Combinatorics and Computer Science,2025,https://cmimc.math.cmu.edu/math/past-results/2025,2025-03-28
cmimc-comb,CMIMC - Combinatorics and Computer Science,2026,https://cmimc.com/competitions/cmimc/results,2026-03-28
cmimc-geometry,CMIMC - Geometry,2022,https://cmimc.math.cmu.edu/math/past-results/2022,2022-03-28
cmimc-geometry,CMIMC - Geometry,2023,https://cmimc.math.cmu.edu/math/past-results/2023,2023-03-25
cmimc-geometry,CMIMC - Geometry,2024,https://cmimc.math.cmu.edu/math/past-results/2024,2024-04-06
cmimc-geometry,CMIMC - Geometry,2025,https://cmimc.math.cmu.edu/math/past-results/2025,2025-03-28
cmimc-geometry,CMIMC - Geometry,2026,https://cmimc.com/competitions/cmimc/results,2026-03-28
cmm,CMM,2024,https://www.caltechmathmeet.org/results,2024-01-20
cmm,CMM,2025,https://www.caltechmathmeet.org/results,2025-01-25
cmm,CMM,2026,https://www.caltechmathmeet.org/results,2026-01-24
dmm,DMM,2023,https://math.duke.edu/duke-math-meet,2023-11-04
dmm,DMM,2025,https://dukemathmeet.org/archive/2025,2025-11-08
egmo,EGMO,2022,https://www.egmo.org/,2022-04-11
egmo,EGMO,2023,https://www.egmo.org/,2023-04-18
egmo,EGMO,2024,https://www.egmo.org/,2024-04-15
egmo,EGMO,2025,https://www.egmo.org/,2025-04-14
egmo,EGMO,2026,https://www.egmo.org/,2026-04-12
hmic,HMIC,2023,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/hmic/results.pdf,2023-04-15
hmic,HMIC,2024,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/hmic/results.pdf,2024-04-14
hmic,HMIC,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/hmic/results.pdf,2025-04-20
hmmt-feb,HMMT February,2022,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/results/long.htm,2022-02-19
hmmt-feb,HMMT February,2023,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/results/long.htm,2023-02-18
hmmt-feb,HMMT February,2024,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/results/long.htm,2024-02-17
hmmt-feb,HMMT February,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/results/long.htm,2025-02-15
hmmt-feb,HMMT February,2026,https://hmmt-archive.s3.amazonaws.com/tournaments/2026/feb/results/long.htm,2026-02-14
hmmt-feb-algebra-number-theory,HMMT February — Algebra & Number Theory,2022,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/results/long.htm,2022-02-19
hmmt-feb-algebra-number-theory,HMMT February — Algebra & Number Theory,2023,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/results/long.htm,2023-02-18
hmmt-feb-algebra-number-theory,HMMT February — Algebra & Number Theory,2024,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/results/long.htm,2024-02-17
hmmt-feb-algebra-number-theory,HMMT February — Algebra & Number Theory,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/results/long.htm,2025-02-15
hmmt-feb-algebra-number-theory,HMMT February — Algebra & Number Theory,2026,https://hmmt-archive.s3.amazonaws.com/tournaments/2026/feb/results/long.htm,2026-02-14
hmmt-feb-combo,HMMT February — Combinatorics,2022,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/results/long.htm,2022-02-19
hmmt-feb-combo,HMMT February — Combinatorics,2023,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/results/long.htm,2023-02-18
hmmt-feb-combo,HMMT February — Combinatorics,2024,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/results/long.htm,2024-02-17
hmmt-feb-combo,HMMT February — Combinatorics,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/results/long.htm,2025-02-15
hmmt-feb-combo,HMMT February — Combinatorics,2026,https://hmmt-archive.s3.amazonaws.com/tournaments/2026/feb/results/long.htm,2026-02-14
hmmt-feb-geometry,HMMT February — Geometry,2022,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/results/long.htm,2022-02-19
hmmt-feb-geometry,HMMT February — Geometry,2023,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/results/long.htm,2023-02-18
hmmt-feb-geometry,HMMT February — Geometry,2024,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/results/long.htm,2024-02-17
hmmt-feb-geometry,HMMT February — Geometry,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/results/long.htm,2025-02-15
hmmt-feb-geometry,HMMT February — Geometry,2026,https://hmmt-archive.s3.amazonaws.com/tournaments/2026/feb/results/long.htm,2026-02-14
hmmt-nov,HMMT November,2022,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/nov/results/long.htm,2022-11-12
hmmt-nov,HMMT November,2023,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/nov/results/long.htm,2023-11-11
hmmt-nov,HMMT November,2024,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/nov/results/long.htm,2024-11-09
hmmt-nov,HMMT November,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/results/long.htm,2025-11-08
hmmt-nov-general,HMMT November — General,2022,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/nov/results/long.htm,2022-11-12
hmmt-nov-general,HMMT November — General,2023,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/nov/results/long.htm,2023-11-11
hmmt-nov-general,HMMT November — General,2024,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/nov/results/long.htm,2024-11-09
hmmt-nov-general,HMMT November — General,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/results/long.htm,2025-11-08
hmmt-nov-theme,HMMT November — Theme,2022,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/nov/results/long.htm,2022-11-12
hmmt-nov-theme,HMMT November — Theme,2023,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/nov/results/long.htm,2023-11-11
hmmt-nov-theme,HMMT November — Theme,2024,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/nov/results/long.htm,2024-11-09
hmmt-nov-theme,HMMT November — Theme,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/results/long.htm,2025-11-08
imo,IMO,2022,https://www.imo-official.org/,2022-07-11
imo,IMO,2023,https://www.imo-official.org/,2023-07-08
imo,IMO,2024,https://www.imo-official.org/,2024-07-16
imo,IMO,2025,https://www.imo-official.org/,2025-07-15
jhmt,JHMT,2025,https://static1.squarespace.com/static/6702de016fca3f6e87294347/t/69f114adfe862e5422e096ad/1777407149601/jhmt2025hswinners.pdf,2025-04-26
jhmt,JHMT,2026,https://static1.squarespace.com/static/6702de016fca3f6e87294347/t/69f11130cfdb0925811d45e1/1777406256746/jhmt2026hswinners.pdf,2026-04-25
jmo,USAJMO,2022,,2022-03-22
jmo,USAJMO,2023,,2023-03-21
jmo,USAJMO,2024,https://maa.org/wp-content/uploads/2024/11/2024-USAJMO-Awardees-updated.pdf,2024-03-19
jmo,USAJMO,2025,https://maa.org/wp-content/uploads/2026/02/2025-USAJMO-Awards-Winner-List.pdf,2025-03-19
jmo,USAJMO,2026,https://maa.org/wp-content/uploads/2026/04/2026-USAJMO-Awardees.pdf,2026-03-18
mathcounts-national,MATHCOUNTS National,2019,https://www.mathcounts.org/,2019-05-11
mathcounts-national,MATHCOUNTS National,2021,https://www.mathcounts.org/,2021-05-08
mathcounts-national,MATHCOUNTS National,2022,https://www.mathcounts.org/,2022-05-07
mathcounts-national,MATHCOUNTS National,2023,https://www.mathcounts.org/,2023-05-13
mathcounts-national,MATHCOUNTS National,2024,https://www.mathcounts.org/,2024-05-12
mathcounts-national,MATHCOUNTS National,2025,https://www.mathcounts.org/,2025-05-11
mathcounts-national,MATHCOUNTS National,2026,https://www.mathcounts.org/,2026-05-10
mathcounts-national-rank,Mathcounts,2019,https://www.mathcounts.org/,2019-05-11
mathcounts-national-rank,MATHCOUNTS National — Rankings,2021,https://cspeef.org/wp-content/uploads/2021/06/MATHCOUNTSNationalResultsOnly2021.pdf,2021-05-10
mathcounts-national-rank,MATHCOUNTS National — Rankings,2022,https://www.mathcounts.org/sites/default/files/00%202022%20Final%20Standings%20Document.pdf,2022-05-08
mathcounts-national-rank,MATHCOUNTS National — Rankings,2023,https://www.mathcounts.org/sites/default/files/2023%20Final%20Standings%20Document.pdf,2023-05-14
mathcounts-national-rank,MATHCOUNTS National — Rankings,2024,https://www.mathcounts.org/sites/default/files/2024%20Final%20Standings%20Document.pdf,2024-05-12
mathcounts-national-rank,MATHCOUNTS National — Rankings,2025,https://www.mathcounts.org/sites/default/files/2025-05/2025_FinalStandings.pdf,2025-05-11
mk-national,Math Kangaroo National,2021,https://mathkangaroo.org/mks/,2021-03-18
mk-national,Math Kangaroo National,2022,https://mathkangaroo.org/mks/,2022-03-17
mk-national,Math Kangaroo National,2023,https://mathkangaroo.org/mks/,2023-03-16
mk-national,Math Kangaroo National,2024,https://mathkangaroo.org/mks/,2024-03-21
mk-national,Math Kangaroo National,2025,https://mathkangaroo.org/mks/,2025-03-20
mmaths,MMATHS,2024,https://docs.google.com/spreadsheets/d/19t3LunNmcwPzdsPoqAApAfNUl_zrxXZbFi-ssOtoI10/edit?gid=899786555#gid=899786555,2024-10-26
mmaths,MMATHS,2025,https://docs.google.com/spreadsheets/d/1Py8P10NqymD2UeMGAApMTsYC5PsQX5BdwvGJZJqCVQk/edit?gid=899786555#gid=899786555,2025-11-15
mpfg,MPFG,2022,https://artofproblemsolving.com/community/c132h2938890_math_prize_2022_award_winners,2022-10-09
mpfg,MPFG,2023,https://artofproblemsolving.com/community/c132h3174321_math_prize_2023_award_winners,2023-10-08
mpfg,MPFG,2024,https://artofproblemsolving.com/community/c132h3416350_math_prize_2024_award_winners,2024-10-06
mpfg,MPFG,2025,https://artofproblemsolving.com/community/c132h3697114_math_prize_2025_award_winners,2025-10-12
mpfg-olympiad,MPFG Olympiad,2022,https://artofproblemsolving.com/community/c132h2980543_math_prize_olympiad_2022_medalists,2022-12-02
mpfg-olympiad,MPFG Olympiad,2023,https://artofproblemsolving.com/community/c132h3218974_math_prize_olympiad_2023_medalists,2023-11-30
mpfg-olympiad,MPFG Olympiad,2024,https://artofproblemsolving.com/community/c132h3465003_math_prize_olympiad_2024_medalists,2024-12-05
mpfg-olympiad,MPFG Olympiad,2025,https://artofproblemsolving.com/community/c132h3741370_math_prize_olympiad_2025_medalists,2025-12-04
pumac-a,PUMaC — Division A,2022,https://pumac.princeton.edu/,2022-11-19
pumac-a,PUMaC — Division A,2023,https://pumac.princeton.edu/,2023-11-18
pumac-a,PUMaC — Division A,2024,https://pumac.princeton.edu/,2024-11-23
pumac-a,PUMaC — Division A,2025,https://pumac.princeton.edu/,2025-11-22
pumac-a-algebra,PUMaC — Division A Algebra,2022,https://pumac.princeton.edu/,2022-11-19
pumac-a-algebra,PUMaC — Division A Algebra,2023,https://pumac.princeton.edu/,2023-11-18
pumac-a-algebra,PUMaC — Division A Algebra,2024,https://pumac.princeton.edu/,2024-11-23
pumac-a-algebra,PUMaC — Division A Algebra,2025,https://pumac.princeton.edu/,2025-11-22
pumac-a-combinator,PUMaC — Division A Combinatorics,2022,https://pumac.princeton.edu/,2022-11-19
pumac-a-combinator,PUMaC — Division A Combinatorics,2023,https://pumac.princeton.edu/,2023-11-18
pumac-a-combinator,PUMaC — Division A Combinatorics,2024,https://pumac.princeton.edu/,2024-11-23
pumac-a-combinator,PUMaC — Division A Combinatorics,2025,https://pumac.princeton.edu/,2025-11-22
pumac-a-geometry,PUMaC — Division A Geometry,2022,https://pumac.princeton.edu/,2022-11-19
pumac-a-geometry,PUMaC — Division A Geometry,2023,https://pumac.princeton.edu/,2023-11-18
pumac-a-geometry,PUMaC — Division A Geometry,2024,https://pumac.princeton.edu/,2024-11-23
pumac-a-geometry,PUMaC — Division A Geometry,2025,https://pumac.princeton.edu/,2025-11-22
pumac-a-number-theory,PUMaC — Division A Number Theory,2022,https://pumac.princeton.edu/,2022-11-19
pumac-a-number-theory,PUMaC — Division A Number Theory,2023,https://pumac.princeton.edu/,2023-11-18
pumac-a-number-theory,PUMaC — Division A Number Theory,2024,https://pumac.princeton.edu/,2024-11-23
pumac-a-number-theory,PUMaC — Division A Number Theory,2025,https://pumac.princeton.edu/,2025-11-22
pumac-b,PUMaC — Division B,2022,https://pumac.princeton.edu/,2022-11-19
pumac-b,PUMaC — Division B,2023,https://pumac.princeton.edu/,2023-11-18
pumac-b,PUMaC — Division B,2024,https://pumac.princeton.edu/,2024-11-23
pumac-b,PUMaC — Division B,2025,https://pumac.princeton.edu/,2025-11-22
pumac-b-algebra,PUMaC — Division B Algebra,2022,https://pumac.princeton.edu/,2022-11-19
pumac-b-algebra,PUMaC — Division B Algebra,2023,https://pumac.princeton.edu/,2023-11-18
pumac-b-algebra,PUMaC — Division B Algebra,2024,https://pumac.princeton.edu/,2024-11-23
pumac-b-algebra,PUMaC — Division B Algebra,2025,https://pumac.princeton.edu/,2025-11-22
pumac-b-combinator,PUMaC — Division B Combinatorics,2022,https://pumac.princeton.edu/,2022-11-19
pumac-b-combinator,PUMaC — Division B Combinatorics,2023,https://pumac.princeton.edu/,2023-11-18
pumac-b-combinator,PUMaC — Division B Combinatorics,2024,https://pumac.princeton.edu/,2024-11-23
pumac-b-combinator,PUMaC — Division B Combinatorics,2025,https://pumac.princeton.edu/,2025-11-22
pumac-b-geometry,PUMaC — Division B Geometry,2022,https://pumac.princeton.edu/,2022-11-19
pumac-b-geometry,PUMaC — Division B Geometry,2023,https://pumac.princeton.edu/,2023-11-18
pumac-b-geometry,PUMaC — Division B Geometry,2024,https://pumac.princeton.edu/,2024-11-23
pumac-b-geometry,PUMaC — Division B Geometry,2025,https://pumac.princeton.edu/,2025-11-22
pumac-b-number-theory,PUMaC — Division B Number Theory,2022,https://pumac.princeton.edu/,2022-11-19
pumac-b-number-theory,PUMaC — Division B Number Theory,2023,https://pumac.princeton.edu/,2023-11-18
pumac-b-number-theory,PUMaC — Division B Number Theory,2024,https://pumac.princeton.edu/,2024-11-23
pumac-b-number-theory,PUMaC — Division B Number Theory,2025,https://pumac.princeton.edu/,2025-11-22
rmm,RMM,2023,https://rmms.lbi.ro/,2023-02-24
rmm,RMM,2024,https://rmms.lbi.ro/,2024-02-28
rmm,RMM,2025,https://rmms.lbi.ro/,2025-02-28
rmm,RMM,2026,https://rmms.lbi.ro/,2026-02-27
