Country Name,Country Code,Contestant,P1,P2,P3,P4,P5,P6,Total,Award,Rank
Lithuania,TND,Magnússon Benedikt Vilji,3,0,0,0,0,7,10,Honourable mention,50
Romania,ROU,Spătaru Vlad-Titus,7,3,0,0,0,0,10,Honourable mention,51
Ukraine,UKR,Frankevych Yevheniia,7,1,0,2,0,0,10,Honourable mention,52
Ukraine,UKR,Spektrova Maryna,7,1,0,1,1,0,10,Honourable mention,53
Ukraine,UKR,Bortnovskyi Ivan,5,1,2,0,2,0,10,,54
France,FRA,Dai Charles,0,7,0,2,0,0,9,Honourable mention,55
Ukraine,UKR,Potomkina Alisa,2,0,0,0,0,7,9,Honourable mention,56
United Kingdom,UNK,Zhao Haolin,7,0,0,0,2,0,9,Honourable mention,57
Israel,ISR,Dvora Raz,1,0,1,0,7,0,9,Honourable mention,58
Romania B,ROU B,Mazăre Emanuel,7,1,0,1,0,0,9,Honourable mention,59
Romania B,ROU B,Pîrvulescu Gabriela-Mădălina,7,1,0,1,0,0,9,Honourable mention,60
Serbia,SRB,Višnjić Aleksandar,1,0,0,0,0,7,8,Honourable mention,61
Romania (Tudor Vianu College),VIANU,Slanina Iulia,6,0,0,0,2,0,8,,62
France,FRA,Ramondou Auguste,2,1,0,2,2,1,8,,63
GEO,GEO,Bolkvadze Sandro,7,0,0,0,0,0,7,Honourable mention,64
SVN,SVN,Skrt Matija,7,0,0,0,0,0,7,Honourable mention,65
Israel,ISR,Tavor Aviv,2,3,0,2,0,0,7,,66
Israel,ISR,Bogoslavsky Ofer,1,3,0,2,0,1,7,,67
SVN,SVN,Grilj Katarina,6,0,0,0,0,0,6,,68
GEO,GEO,Peikrishvili Tamar,6,0,0,0,0,0,6,,69
Italy,ITA,Pietro Gualdi,2,1,0,3,0,0,6,,70
Romania B,ROU B,Tulceanu Cezar Alexandru,2,3,0,1,0,0,6,,71
Ukraine,UKR,Dang Minh Cong,0,3,0,0,2,0,5,,72
Romania (Tudor Vianu College),VIANU,Benescu Alexandru-Andrei,4,0,0,0,0,0,4,,73
Lithuania,TND,Aulanko Aino,1,0,0,3,0,0,4,,74
Ukraine,UKR,Romaniuk Iryna,3,1,0,0,0,0,4,,75
SVN,SVN,Dolinar Lenart,2,1,0,0,0,0,3,,76
Ukraine,UKR,Drozdova Kseniia,0,2,0,1,0,0,3,,77
Ukraine,UKR,Surmylo Stanislav,0,1,0,2,0,0,3,,78
Serbia,SRB,Živadinović Andrija,2,0,0,1,0,0,3,,79
Ukraine,UKR,Chub Volodymyr,1,1,0,0,0,1,3,,80
Romania (Tudor Vianu College),VIANU,Birca Stefan,2,0,0,0,0,0,2,,81
Serbia,SRB,Djinović Vukašin,2,0,0,0,0,0,2,,82
SVN,SVN,Peruš Luka,2,0,0,0,0,0,2,,83
Romania (Tudor Vianu College),VIANU,Ghitescu Cosmina Georgiana,0,0,0,1,0,0,1,,84
France,FRA,Israël Itaï,1,0,0,0,0,0,1,,85
GEO,GEO,Beria Tornike,0,0,0,0,0,0,0,,86
Romania (Tudor Vianu College),VIANU,Danciu Ana-Cezara,0,0,0,0,0,0,0,,87
Romania (Tudor Vianu College),VIANU,Dimulescu Vlad-Mihai,0,0,0,0,0,0,0,,88
United Kingdom,UNK,Goncharov Anthony,0,0,0,0,0,0,0,,89
Lithuania,TND,Häglund Mikael,0,0,0,0,0,0,0,,90
