Country Name,Country Code,Contestant,P1,P2,P3,P4,P5,P6,Total,Award,Rank
Israel,ISR,Nutman Yoav,7,0,0,7,0,5,19,Bronze medal,30
United States of America,USA,Liang Hengrui,4,7,0,7,1,0,19,Bronze medal,31
United Kingdom,UNK,Bagla Aum,2,3,0,7,7,0,19,Bronze medal,32
United Kingdom,UNK,Mohan Narein,7,3,0,7,0,2,19,Bronze medal,33
Romania B,ROU B,Sandea Iancu Ioan,3,7,0,7,0,2,19,Bronze medal,34
Brazil,BRA,Jônatas de Oliveira Pimentel Leite Paulo,6,6,0,7,0,0,19,Bronze medal,35
France,FRA,Argentin Matteo,7,4,0,7,0,0,18,Bronze medal,36
Italy,ITA,Kazhamiakina Anna,7,4,0,7,0,0,18,Bronze medal,37
Italy,ITA,Cavallo Perin Luca Giovanni Giorgio,7,3,0,7,1,0,18,Bronze medal,38
France,FRA,Faucheu Hadrien,7,3,0,7,0,0,17,Bronze medal,39
Romania,ROU,Marghidan David-Vlad,7,3,0,7,0,0,17,Bronze medal,40
Romania B,ROU B,Mitroi Aida,3,7,0,7,0,0,17,Bronze medal,41
Ukraine,UKR,Opulskyi Anton,7,3,0,7,0,0,17,Bronze medal,42
Bulgaria,BGR,Stefanov Andrey,2,1,0,7,7,0,17,Bronze medal,43
United Kingdom,UNK,Raja Yuvan,5,5,0,7,0,0,17,Bronze medal,44
Brazil,BRA,Alves Amiune Rafael,7,0,0,7,0,2,16,Bronze medal,45
Hungary,HUN,Bodor Mátyás,2,7,0,7,0,0,16,Bronze medal,46
Romania B,ROU B,Dragoș Victor-Vasile,7,0,0,7,0,2,16,Bronze medal,47
Israel,ISR,Even Shani Elad,7,2,0,7,0,0,16,Bronze medal,48
United States of America,USA,Kanungo Shihan,7,2,0,7,0,0,16,Bronze medal,49
Peru,PER,Lozada Sebastian,7,2,0,7,0,0,16,Bronze medal,50
Peru,PER,Ochoa Samir,7,2,0,7,0,0,16,Bronze medal,51
Estonia,TBT,Shvab Petr,7,2,0,7,0,0,16,Bronze medal,52
Italy,ITA,Stologan Marius,7,2,0,7,0,0,16,Bronze medal,53
Ukraine,UKR,Zabigailo Volodymyr,7,2,0,7,0,0,16,Bronze medal,54
France,FRA,Li Ruirong,7,1,0,7,0,1,16,Bronze medal,55
Estonia,TBT,Lepp Kristjan,7,0,0,7,0,1,15,Honourable mention,56
United Kingdom,UNK,Sydorenko Mykhailo,7,0,0,7,1,0,15,Honourable mention,57
Hungary,HUN,Sárdinecz Dóra,7,0,0,7,1,0,15,Honourable mention,58
People's Republic of China,CHN,Zhu Jiaqi,7,1,0,7,0,0,15,Honourable mention,59
Israel,ISR,Zyryanov (Yukelson) Ilia,7,1,0,7,0,0,15,Honourable mention,60
Estonia,TBT,Juodis Adomas,2,6,0,7,0,0,15,Honourable mention,61
Israel,ISR,Lifshitz Dvir,6,2,0,7,0,0,15,Honourable mention,62
Romania,ROU,Stoleriu Radu-Ionuț,3,4,0,7,1,0,15,Honourable mention,63
Bulgaria,BGR,Zulyamski Kiril,3,4,0,7,0,1,15,Honourable mention,64
Lithuania,TND,Urbonas Skomantas,6,2,0,6,1,0,15,,65
Serbia,SRB,Banović Petar,7,0,0,7,0,0,14,Honourable mention,66
Lithuania,TND,Karlin Theo,7,0,0,7,0,0,14,Honourable mention,67
Lithuania,TND,Katila Ohto,7,0,0,7,0,0,14,Honourable mention,68
Estonia,TBT,Vladimirovs Luka,7,0,0,7,0,0,14,Honourable mention,69
Serbia,SRB,Šušić Nina,7,0,0,7,0,0,14,Honourable mention,70
Bulgaria,BGR,Bangachev Aleksandar,5,2,0,7,0,0,14,Honourable mention,71
Serbia,SRB,Šebez Stefan,3,2,0,7,1,1,14,Honourable mention,72
Romania (Tudor Vianu College),VIANU,Rebengiuc Mircea,6,0,0,7,0,0,13,Honourable mention,73
Lithuania,TND,Xiao Ziyi,4,2,0,7,0,0,13,Honourable mention,74
France,FRA,Heim Malone,4,1,0,7,0,0,12,Honourable mention,75
Bulgaria,BGR,Sakarev Bozhidar,7,3,0,1,0,1,12,Honourable mention,76
Hungary,HUN,Holló Martin,4,0,0,7,0,0,11,Honourable mention,77
Romania,ROU,Mathe David,4,0,0,7,0,0,11,Honourable mention,78
Estonia,TBT,Piekus Pijus,4,0,0,7,0,0,11,Honourable mention,79
Romania B,ROU B,Radu Ilinca Rucsandra,4,0,0,7,0,0,11,Honourable mention,80
Israel,ISR,Shaqed Amir,3,1,0,7,0,0,11,Honourable mention,81
Ukraine,UKR,Gryn Volodymyr,3,0,0,7,0,0,10,Honourable mention,82
Brazil,BRA,Medeiros Ferraz de Campos Fábio,3,0,0,7,0,0,10,Honourable mention,83
Peru,PER,Pomasoncco Kevin,0,3,0,7,0,0,10,Honourable mention,84
Serbia,SRB,Đurica Vladimir,4,2,0,4,0,0,10,,85
Lithuania,TND,Levchenko Vladyslav,2,0,0,7,0,0,9,Honourable mention,86
Romania B,ROU B,Stroe Ioana,0,2,0,7,0,0,9,Honourable mention,87
Ukraine,UKR,Hishchak Ostap,7,0,0,1,1,0,9,Honourable mention,88
Moldova,MDA,Barbuța Robert,1,0,0,7,0,0,8,Honourable mention,89
Brazil,BRA,Holanda Sampaio Enzo,6,0,0,0,1,0,7,,90
France,FRA,Nguyen Tristan,0,4,0,0,0,0,4,,91
Romania (Tudor Vianu College),VIANU,Vladoiu Ioana,3,1,0,0,0,0,4,,92
Romania (Tudor Vianu College),VIANU,Constantinescu Vlad,2,0,0,1,0,0,3,,93
Romania (Tudor Vianu College),VIANU,Albu Eduard,2,0,0,0,0,0,2,,94
Romania (Tudor Vianu College),VIANU,Grecu Tudor,2,0,0,0,0,0,2,,95
Moldova,MDA,Bordei Alexandru,1,0,0,0,0,0,1,,96
Romania (Tudor Vianu College),VIANU,Marinescu Mihnea,0,0,0,0,0,0,0,,97
